Style;Per;Rock;Metal;Rap;RapUS;RapFR;Elect;ChansFR;Influ;Conf;SurC;SousC;Disp;Improb;Manq;Prof;Guerin;Genr;Cat;Age;Honnet;Avis
PopRock;10s;ACDC;Metallica;FR;Eminem;Jul;Soiree;Mae;MJackson;Beyonce;Beatles;ColdPlay;BackMet;Austropop;Folie;PayetDblKick;NoComment;Femme;Autre;15-19;Oui;Nimp
PopRock;80s;GunsRoses;IronMaiden;FR;Eminem;McSolar;Boum;Mae;MJackson;MJackson;TameImp;Nirvana;ChantAmphi;Trallpunk;Joie;BillyVoix;ConnaisPas;Homme;Autre;45-54;Oui;HaHa
ChansonF;80s;RollingSt;IronMaiden;FR;Eminem;Orelsan;Boum;Brassens;Hendrix;Joplin;ColdPlay;PinkFloyd;RapVersail;Trallpunk;Notes;TolonAccord;Bouzin;WTF;Autre;45-54;Oui;HaHa
Rap;70s;Queen;Metallica;US;Eminem;Orelsan;Boum;Dassin;Beyonce;Joplin;PinkFloyd;Queen;Techno;Folktronica;Profond;BillyVoix;ConnaisPas;Homme;Autre;25-29;Oui;PasStat
PopRock;80s;RollingSt;Metallica;US;DrDre ;Orelsan;Boum;Brassens;MJackson;Bowie;ColdPlay;TameImp;ChantAmphi;Psychobilly;Profond;BillyVoix;ConnaisPas;Femme;Autre;45-54;Oui;Boomers
Rap;10s;ACDC;Metallica;US;JayZ;PNL;Boum;Mae;MJackson;MJackson;Nirvana;ColdPlay;Kpop ;Psychobilly;Folie;SarrazSynth;ConnaisPas;Homme;Autre;20-24;Non;Nimp
PopRock;80s;Nirvana;Ramstein;US;Eminem;Orelsan;Boum;Banabar;Madonna;Madonna;PinkFloyd;Beatles;RapVersail;Psychobilly;Profond;TolonAccord;FadeBeurDx;WTF;3A;20-24;Oui;HaHa
Electro;80s;ACDC;IronMaiden;US;DrDre ;Orelsan;Soiree;Banabar;MJackson;Hendrix;Beatles;PinkFloyd;RapVersail;Psychobilly;Folie;PayetDblKick;FadeBeurDx;Homme;Autre;25-29;Oui;HaHa
ChansonF;90s;RollingSt;Metallica;FR;50Cent;Orelsan;Oreilles;Saez;MJackson;MJackson;DaftPunk;Queen;Techno;Chiptune;Notes;SarrazSynth;NoComment;Femme;3A;15-19;Oui;HaHa
PopRock;80s;GunsRoses;IronMaiden;US;Eminem;Jul;Oreilles;Dassin;Cobain;Cobain;Maneskin;DaftPunk;ChantAmphi;Trallpunk;Folie;TolonAccord;BFF;Femme;3A;20-24;Oui;HaHa
